"State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"AK","ABICB",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,45.00,6.00,1.00,50.00,8.00,1.00,-15.00,2.00,4.00,-1.00,3.00,3.00,107.00,93.00,130.00,165.00,87.00,141.00,84.00,134.00,164.00,165.00,233.00,189.00,14.00,39.00,2.00,-14.00,-4.00
"AK","ARICB",312.00,555.00,489.00,589.00,791.00,878.00,1646.00,832.00,755.00,969.00,1817.00,1969.00,2168.00,1622.00,1637.00,2114.00,2107.00,2396.00,2081.00,1372.00,2053.00,1767.00,2443.00,2283.00,2910.00,3220.00,2476.00,1705.00,4635.00,1819.00,1782.00,1718.00,1750.00,282.00,439.00,548.00,175.00,367.00,431.00,867.00,2059.00,10232.00,2404.00,395.00,1778.00,1231.00,329.00,924.00,547.00,472.00,474.00
"AK","ARTCB",312.00,555.00,489.00,589.00,791.00,878.00,1646.00,832.00,755.00,969.00,1817.00,1969.00,2168.00,1622.00,1637.00,2114.00,2107.00,2396.00,2081.00,1372.00,2053.00,1767.00,2443.00,2283.00,2910.00,3220.00,2476.00,1705.00,4635.00,1819.00,1782.00,1718.00,1750.00,282.00,439.00,548.00,175.00,367.00,431.00,867.00,2059.00,10232.00,2404.00,395.00,1778.00,1231.00,329.00,924.00,547.00,472.00,474.00
"AK","ARTXB",312.00,555.00,489.00,589.00,791.00,878.00,1646.00,832.00,755.00,969.00,1817.00,1969.00,2168.00,1622.00,1637.00,2114.00,2107.00,2396.00,2081.00,1372.00,2053.00,1767.00,2443.00,2283.00,2910.00,3220.00,2476.00,1705.00,4635.00,1819.00,1782.00,1718.00,1750.00,282.00,439.00,548.00,175.00,367.00,431.00,867.00,2059.00,10232.00,2404.00,395.00,1778.00,1231.00,329.00,924.00,547.00,472.00,474.00
"AK","AVACB",5209.00,6441.00,5202.00,3273.00,2319.00,1478.00,1086.00,3538.00,3548.00,3467.00,2331.00,1902.00,1956.00,2013.00,2425.00,2354.00,1924.00,2179.00,2208.00,2186.00,2514.00,2544.00,1862.00,1894.00,1979.00,2476.00,3114.00,1049.00,2054.00,2480.00,2480.00,3118.00,2319.00,2070.00,865.00,1965.00,716.00,2053.00,770.00,2671.00,2632.00,1236.00,905.00,790.00,918.00,1399.00,1263.00,1250.00,1008.00,1095.00,822.00
"AK","AVTCB",5209.00,6441.00,5202.00,3273.00,2319.00,1478.00,1086.00,3538.00,3548.00,3467.00,2331.00,1902.00,1956.00,2013.00,2425.00,2354.00,1924.00,2179.00,2208.00,2186.00,2514.00,2544.00,1862.00,1894.00,1979.00,2476.00,3114.00,1049.00,2054.00,2480.00,2480.00,3118.00,2319.00,2070.00,865.00,1965.00,716.00,2053.00,770.00,2671.00,2632.00,1236.00,905.00,790.00,918.00,1399.00,1263.00,1250.00,1008.00,1095.00,822.00
"AK","AVTXB",5209.00,6441.00,5202.00,3273.00,2319.00,1478.00,1086.00,3538.00,3548.00,3467.00,2331.00,1902.00,1956.00,2013.00,2425.00,2354.00,1924.00,2179.00,2208.00,2186.00,2514.00,2544.00,1862.00,1894.00,1979.00,2476.00,3114.00,1049.00,2054.00,2480.00,2480.00,3118.00,2319.00,2070.00,865.00,1965.00,716.00,2053.00,770.00,2671.00,2632.00,1236.00,905.00,790.00,918.00,1399.00,1263.00,1250.00,1008.00,1095.00,822.00
"AK","BMTCB",3681.00,4145.00,4246.00,4383.00,4728.00,4863.00,5035.00,4671.00,4705.00,4893.00,5029.00,5287.00,5079.00,4871.00,4922.00,4894.00,5224.00,6106.00,5920.00,5986.00,2723.00,3046.00,2875.00,3348.00,3917.00,3967.00,2259.00,2923.00,3103.00,9188.00,8169.00,7954.00,8753.00,7067.00,9659.00,8941.00,8774.00,4308.00,2233.00,2168.00,2069.00,3438.00,3529.00,3485.00,3765.00,1925.00,1862.00,2129.00,2907.00,3127.00,3833.00
"AK","CLACB",86.00,42.00,43.00,36.00,33.00,21.00,38.00,37.00,28.00,16.00,14.00,12.00,8.00,6.00,4.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"AK","CLCCB",496.00,496.00,593.00,393.00,306.00,280.00,353.00,322.00,270.00,261.00,183.00,184.00,264.00,157.00,195.00,205.00,173.00,176.00,0.00,0.00,0.00,6114.00,6531.00,6158.00,6412.00,5386.00,6042.00,0.00,0.00,0.00,6241.00,6530.00,6665.00,7294.00,6977.00,7187.00,6593.00,7092.00,7411.00,7585.00,7262.00,6569.00,6464.00,6081.00,6980.00,7252.00,7920.00,6649.00,7674.00,7207.00,7553.00
"AK","CLEIB",914.00,1127.00,1373.00,1482.00,2279.00,2690.00,2710.00,2335.00,2564.00,2781.00,4254.00,4728.00,4296.00,4146.00,4634.00,4471.00,4391.00,4366.00,4689.00,4182.00,4310.00,5064.00,5314.00,5072.00,4967.00,4682.00,4302.00,4330.00,4362.00,4719.00,4585.00,4711.00,4381.00,4703.00,4287.00,4622.00,3622.00,3711.00,8124.00,7752.00,8283.00,8507.00,9068.00,5555.00,6305.00,6087.00,6245.00,6247.00,6176.00,6350.00,5958.00
"AK","CLICB",4980.00,9174.00,10696.00,9545.00,8989.00,6526.00,12860.00,15341.00,12791.00,9800.00,8476.00,9021.00,7984.00,8884.00,7560.00,10504.00,9070.00,5648.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,82.00,0.00,39.00,39.00,20.00,22.00,13.00,23.00,15.00,7.00,15.00,25.00,33.00,26.00,2.00,57.00,57.00
"AK","CLKCB",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"AK","CLOCB",4980.00,9174.00,10696.00,9545.00,8989.00,6526.00,12860.00,15341.00,12791.00,9800.00,8476.00,9021.00,7984.00,8884.00,7560.00,10504.00,9070.00,5648.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,82.00,0.00,39.00,39.00,20.00,22.00,13.00,23.00,15.00,7.00,15.00,25.00,33.00,26.00,2.00,57.00,57.00
"AK","CLRCB",714.00,713.00,854.00,543.00,423.00,371.00,468.00,427.00,344.00,333.00,233.00,177.00,199.00,92.00,92.00,88.00,71.00,69.00,0.00,0.00,0.00,1342.00,1338.00,1173.00,1504.00,1519.00,1805.00,0.00,0.00,0.00,1560.00,1433.00,1463.00,1601.00,1231.00,1074.00,899.00,877.00,916.00,1034.00,898.00,812.00,881.00,909.00,776.00,631.00,783.00,739.00,853.00,891.00,934.00
"AK","CLTCB",7189.00,11552.00,13559.00,11999.00,12029.00,9888.00,16431.00,18462.00,15998.00,13191.00,13159.00,14121.00,12753.00,13286.00,12485.00,15271.00,13706.00,10259.00,4689.00,4182.00,4310.00,12521.00,13182.00,12403.00,12883.00,11587.00,12150.00,4330.00,4362.00,4719.00,12387.00,12675.00,12509.00,13630.00,12578.00,12882.00,11152.00,11719.00,16471.00,16394.00,16455.00,15911.00,16429.00,12552.00,14075.00,13994.00,14981.00,13662.00,14705.00,14505.00,14502.00
"AK","CLTXB",6275.00,10425.00,12186.00,10516.00,9751.00,7199.00,13720.00,16128.00,13433.00,10410.00,8905.00,9394.00,8456.00,9140.00,7850.00,10799.00,9314.00,5893.00,0.00,0.00,0.00,7457.00,7868.00,7331.00,7916.00,6905.00,7847.00,0.00,0.00,0.00,7802.00,7963.00,8128.00,8927.00,8291.00,8261.00,7531.00,8008.00,8347.00,8642.00,8172.00,7404.00,7361.00,6997.00,7770.00,7907.00,8736.00,7414.00,8529.00,8155.00,8544.00
"AK","COICB",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23659.00,22732.00,21505.00,17588.00,12394.00,14576.00,10037.00,8701.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
